DATE,QMYR628BIS
1988-01-01,59.4685
1988-04-01,59.6089
1988-07-01,60.7906
1988-10-01,60.9699
1989-01-01,61.289
1989-04-01,61.3345
1989-07-01,61.1665
1989-10-01,60.491
1990-01-01,60.445
1990-04-01,60.0092
1990-07-01,60.6285
1990-10-01,65.3035
1991-01-01,69.6306
1991-04-01,74.1098
1991-07-01,75.9167
1991-10-01,76.6738
1992-01-01,77.9957
1992-04-01,79.5328
1992-07-01,79.8925
1992-10-01,79.8994
1993-01-01,80.0609
1993-04-01,80.2231
1993-07-01,80.3288
1993-10-01,80.6792
1994-01-01,81.8204
1994-04-01,81.6056
1994-07-01,83.6989
1994-10-01,87.4594
1995-01-01,91.2764
1995-04-01,94.5331
1995-07-01,97.2568
1995-10-01,99.5429
1996-01-01,102.0514
1996-04-01,104.2324
1996-07-01,105.4416
1996-10-01,105.7314
1997-01-01,106.3274
1997-04-01,106.365
1997-07-01,103.6548
1997-10-01,98.3005
1998-01-01,94.3537
1998-04-01,89.7754
1998-07-01,86.6355
1998-10-01,86.0594
1999-01-01,83.6236
1999-04-01,83.8401
1999-07-01,85.1091
1999-10-01,86.3331
2000-01-01,86.2324
2000-04-01,88.6618
2000-07-01,89.1301
2000-10-01,88.8271
2001-01-01,87.3048
2001-04-01,87.9271
2001-07-01,88.8306
2001-10-01,88.4325
2002-01-01,87.5764
2002-04-01,88.5303
2002-07-01,89.734
2002-10-01,91.0691
2003-01-01,90.5492
2003-04-01,90.2849
2003-07-01,93.1243
2003-10-01,93.296
2004-01-01,94.4143
2004-04-01,94.2931
2004-07-01,94.0624
2004-10-01,93.6078
2005-01-01,93.8836
2005-04-01,94.633
2005-07-01,93.4079
2005-10-01,92.9996
2006-01-01,92.628
2006-04-01,92.1291
2006-07-01,92.0585
2006-10-01,94.4684
2007-01-01,94.6202
2007-04-01,94.7816
2007-07-01,95.2767
2007-10-01,95.0927
2008-01-01,96.2474
2008-04-01,94.2039
2008-07-01,92.247
2008-10-01,91.9938
2009-01-01,93.3274
2009-04-01,95.3437
2009-07-01,96.265
2009-10-01,96.8476
2010-01-01,96.8586
2010-04-01,99.8799
2010-07-01,100.7967
2010-10-01,102.4224
2011-01-01,103.1552
2011-04-01,105.1153
2011-07-01,107.0821
2011-10-01,110.3737
2012-01-01,113.6479
2012-04-01,117.2523
2012-07-01,119.6158
2012-10-01,124.5337
2013-01-01,124.2961
2013-04-01,128.4005
2013-07-01,132.6014
2013-10-01,132.2503
2014-01-01,132.4189
2014-04-01,136.8289
2014-07-01,140.1055
2014-10-01,139.7949
2015-01-01,143.6448
2015-04-01,143.4652
2015-07-01,145.443
2015-10-01,145.0749
2016-01-01,148.9231
2016-04-01,150.781
2016-07-01,153.2999
2016-10-01,152.7023
2017-01-01,152.529
2017-04-01,155.1122
2017-07-01,157.5258
2017-10-01,156.5043
2018-01-01,156.3015
2018-04-01,158.6842
2018-07-01,161.0711
2018-10-01,159.9612
2019-01-01,160.7118
2019-04-01,161.3558
2019-07-01,162.3719
2019-10-01,161.2281
2020-01-01,162.268
2020-04-01,167.934
2020-07-01,164.9565
2020-10-01,165.7071
2021-01-01,162.6052
2021-04-01,162.8951
2021-07-01,160.4528
